	0x00	NOP
	0x01	LD BC,nn
	0x02	LD (BC),A
0x03	INC BC
0x04	INC B
0x05	DEC B
0x06	LD B,n
0x07	RLCA
0x08	LD (nn),SP
0x09	ADD HL,BC
0x0A	LD A,(BC)
0x0B	DEC BC
0x0C	INC C
0x0D	DEC C
0x0E	LD C,n
	0x0F	RRCA
0x10	Indicates 16 Bit Opcode
0x10 00	STOP
0x11	LD DE,nn
0x12	LD (DE),A
0x13	INC DE
0x14	INC D
0x15	DEC D
0x16	LD D,n
0x17	RLA
0x18	JR N
0x19	ADD HL,DE
0x1A	LD A,(DE)
0x1B	DEC DE
0x1C	INC E
0x1D	DEC E
0x1E	LD E,n
	0x1F	RRA
0x20	JR NZ,*
0x21	LD HL,nn
0x22	LDI (HL),A	LD (HLI),A	LD A,(HL+) (No Problem)
0x23	INC HL
0x24	INC H
0x25	DEC H
0x26	LD H,n
0x27	DAA
0x28	JR Z,*
0x29	ADD HL,HL
0x2A	LDI A,(HL)	LD A,(HLI)	LD A,(HL+) (No Problem)
0x2B	DEC HL
0x2C	INC L
0x2D	DEC L
0x2E	LD L,n
0x2F	CPL
0x30	JR NC,*
0x31	LD SP,nn
0x32	LDD (HL),A 	LD (HLD),A	LD (HL-),A (No Problem)
0x33	INC SP
0x34	INC (HL)
0x35	DEC (HL)
0x36	LD (HL),n
0x37	SCF
0x38	JR C,*
0x39	ADD HL,SP
0x3A	LDD A,(HL)	LD A,(HLD)	LD A,(HL-) (No Problem)
0x3B	DEC SP
0x3C	INC A
0x3D	DEC A
0x3E	LD A,#
0x3F	CCF
0x40	LD B,B
0x41	LD B,C
0x42	LD B,D
0x43	LD B,E
0x44	LD B,H
0x45	LD B,L
0x46	LD B,(HL)
0x47	LD B,A
0x48	LD C,B
0x49	LD C,C
0x4A	LD C,D
0x4B	LD C,E
0x4C	LD C,H
0x4D	LD C,L
0x4E	LD C,(HL)
0x4F	LD C,A
0x50	LD D,B
0x51	LD D,C
0x52	LD D,D
0x53	LD D,E
0x54	LD D,H
0x55	LD D,L
0x56	LD D,(HL)
0x57	LD D,A
0x58	LD E,B
0x59	LD E,C
0x5A	LD E,D
0x5B	LD E,E
0x5C	LD E,H
0x5D	LD E,L
0x5E	LD E,(HL)
0x5F	LD E,A
0x60	LD H,B
